Date,NFLX,AAPL,TSLA
2018-08-30,5.98,0.445,0.178
2018-08-31,-2.98,0.28,-0.068
2018-09-04,-2.87,-0.0125,-1.598
2018-09-05,-18.82,-0.53,-0.862
2018-09-06,-0.98,-0.7825,-0.77
2018-09-07,6.48,-0.1375,0.628
2018-09-10,-3.86,-0.655,2.448
2018-09-11,11.26,1.46,-0.006
2018-09-12,10.87,-0.9675,1.82
2018-09-13,-3.76,0.7225,0.288
2018-09-14,-3.99,-0.4775,1.288
2018-09-17,-13.87,-1.0675,0.96
2018-09-18,13.98,0.1125,-2.346
2018-09-19,-6.99,-0.0325,3.702
2018-09-20,-4.9,-0.0525,-1.046
2018-09-21,-5.4,-0.78,0.28
2018-09-24,10.61,0.9925,0.24
2018-09-25,-0.8,0.61,0.198
2018-09-26,4.29,-0.145,1.534
2018-09-27,0.84,0.2825,-1.076
2018-09-28,-5.11,0.2375,-1.098
2018-10-01,5.58,-0.1725,0.986
2018-10-02,-7.24,0.5075,-2.586
2018-10-03,-1.48,0.505,-1.706
2018-10-04,-12.23,-0.6975,-2.424
2018-10-05,-8.42,-0.9175,-2.54
2018-10-08,3.92,0.39,-2.792
2018-10-09,7.23,0.8075,1.51
2018-10-10,-27.63,-2.275,-1.546
2018-10-11,-3.84,-0.0175,-1.06
2018-10-12,-0.01,0.4225,-0.444
2018-10-15,-4.5,-0.95,0.106
2018-10-16,9.16,0.805,2.178
2018-10-17,-13.63,-0.2775,-2.124
2018-10-18,-13.96,-0.46,-1.076
2018-10-19,-18.33,0.3125,-1.478
2018-10-22,-3.56,0.215,0.054
2018-10-23,15.16,1.725,6.054
2018-10-24,-30.45,-1.8775,-2.51
2018-10-25,5.75,0.5225,-0.472
2018-10-26,-0.68,0.1,4.53
2018-10-29,-20.42,-1.7375,-0.524
2018-10-30,10.24,0.5375,0.302
2018-10-31,4.01,0.495,0.95599
2018-11-01,12.79,0.7925,1.204
2018-11-02,-8.9,-0.5175,0.534
2018-11-05,4.34,-0.6775,0.18
2018-11-06,-3.92,0.4625,0.39799
2018-11-07,14.6,0.995,0.96401
2018-11-08,-10.08,-0.3725,0.58
2018-11-09,-7.6,-0.27,0.30199
2018-11-12,-5.93,-1.2075,-3.41801
2018-11-13,-0.6,0.15,1.114
2018-11-14,-13.67,-1.775,0.26
2018-11-15,4.55,0.755,1.222
2018-11-16,-0.93,0.7575,1.824
2018-11-19,-13.19,-1.035,-0.574
2018-11-20,12.35,-0.3475,1.148
2018-11-21,-12.29,-0.7375,-2.762
2018-11-23,-1.29,-0.6625,-1.704
2018-11-26,0.88,0.095,4.2
2018-11-27,7.39,0.6825,0.77399
2018-11-28,10.67,1.0525,0.376
2018-11-29,6.43,-0.7775,-1.166
2018-11-30,-1.87,-0.4275,1.73
2018-12-03,-2.89,0.09,-0.302
2018-12-04,-12.8,-1.065,0.73
2018-12-06,14.55,0.74,1.41
2018-12-07,-17.34,-1.25,-2.206
2018-12-10,5.51,1.15,1.03
2018-12-11,-8.76,-0.7575,-0.63
2018-12-12,7.22,-0.325,-0.564
2018-12-13,-1.62,0.115,1.328
2018-12-14,-4.97,-0.88,-1.858
2018-12-17,-3.71,-0.3775,-2.716
2018-12-18,7.64,0.1725,-2.702
2018-12-19,-3.19,-1.2775,-0.926
2018-12-20,-4.06,-0.8925,-2.334
2018-12-21,-17.44,-1.5325,0.474
2018-12-24,-8.12,-0.33,-3.622
2018-12-26,19.75,2.2175,5.218
2018-12-27,5.46,0.0775,-0.742
2018-12-28,-1.86,-0.3175,2.154
2018-12-31,7.5,-0.1975,-0.998
2019-01-02,8.38,0.7575,0.804
2019-01-03,1.0,-0.4475,-1.328
2019-01-04,15.69,0.9325,2.338
2019-01-07,13.24,-0.1925,2.64799
2019-01-08,0.29,0.2975,-1.322
2019-01-09,2.25,0.505,0.606
2019-01-10,10.09,0.325,2.11401
2019-01-11,6.63,-0.1475,1.034
2019-01-14,-1.3,-0.2125,-1.596
2019-01-15,5.04,0.7,1.886
2019-01-16,-2.61,0.465,0.254
2019-01-17,3.69,0.415,0.22
2019-01-18,-12.87,-0.17,-4.148
2019-01-22,-9.73,-0.7775,-1.18
2019-01-23,-6.26,-0.0575,-0.982
2019-01-24,6.07,-0.3525,1.696
2019-01-25,9.33,0.57,0.53
2019-01-28,0.96,0.1275,0.694
2019-01-29,-6.97,-0.3925,0.438
2019-01-30,7.91,0.5,1.664
2019-01-31,-0.18,0.0825,1.204
2019-02-01,2.67,-0.11,1.358
2019-02-04,8.74,0.96,-0.018
2019-02-05,2.61,0.33,1.772
2019-02-06,-4.81,-0.1025,-0.474
2019-02-07,-3.19,-0.365,-1.158
2019-02-08,9.57,0.355,-0.206
2019-02-11,-4.27,-0.405,0.248
